,Logistic Regresssion,Support Vector Machine,KNN,Decision Tree ,Extra Tree
Test Accuracy,0.9795454545454545,0.9795454545454545,0.9840909090909091,0.9818181818181818,0.9886363636363636
Test F1 Score,0.9795021126588133,0.9794898078326445,0.984078095631369,0.981730300022983,0.9886235501768237
Test Precision,0.9807037056048913,0.9810530638489865,0.9846123573396302,0.9826643053915781,0.9891578118850846
Test Recall,0.9795454545454546,0.9795454545454546,0.984090909090909,0.9818181818181819,0.9886363636363636
